Date/Time,HVAC [kW](Hourly),Electrical appliances [kW](Hourly),Hourly Total Load Consumption,PV Generation Trabzon [kW],PV Generation Antalya [kW]
 01/01  01:00:00,0.041273939,0.092942925,0.134216864,0,0
 01/01  02:00:00,0.048924302,0.07618578,0.125110081,0,0
 01/01  03:00:00,0.055788311,0.062326493,0.118114805,0,0
 01/01  04:00:00,0.060330882,0.053976431,0.114307312,0,0
 01/01  05:00:00,0.063761302,0.065822864,0.129584166,0,0
 01/01  06:00:00,0.061445952,0.080078181,0.141524133,0,0
 01/01  07:00:00,0.056277926,0.140383543,0.196661469,0,0.061536426
 01/01  08:00:00,0.062079036,0.228567291,0.290646327,0.068305152,0.46046997
 01/01  09:00:00,0.053887979,0.30112795,0.355015929,0.28296645,0.883894506
 01/01  10:00:00,0.050604912,0.375064554,0.425669466,0.364724796,1.220729904
 01/01  11:00:00,0.06086807,0.395792849,0.456660919,0.480354858,1.349616558
 01/01  12:00:00,0.049048317,0.413608485,0.462656802,0.553238028,1.322513568
 01/01  13:00:00,0.04633629,0.39965648,0.44599277,0.52998282,1.160316918
 01/01  14:00:00,0.048380758,0.361435816,0.409816574,0.42901365,0.840642066
 01/01  15:00:00,0.045190727,0.331767743,0.376958471,0.250864152,0.439349298
 01/01  16:00:00,0.042128428,0.339922589,0.382051017,0.06586167,0.07878123
 01/01  17:00:00,0.034687592,0.389638663,0.424326255,0,0
 01/01  18:00:00,0.026579792,0.480421868,0.507001659,0,0
 01/01  19:00:00,0.02399812,0.43259402,0.45659214,0,0
 01/01  20:00:00,0.01258891,0.349590651,0.362179561,0,0
 01/01  21:00:00,0.010022924,0.310730298,0.320753222,0,0
 01/01  22:00:00,0.009723251,0.29394914,0.303672391,0,0
 01/01  23:00:00,0.013331431,0.234174068,0.247505499,0,0
 01/01  24:00:00,0.019234583,0.151455627,0.17069021,0,0
 01/02  01:00:00,0.024158614,0.086369242,0.110527856,0,0
 01/02  02:00:00,0.027433801,0.072238755,0.099672557,0,0
 01/02  03:00:00,0.031258231,0.059715255,0.090973486,0,0
 01/02  04:00:00,0.032844089,0.052611026,0.085455116,0,0
 01/02  05:00:00,0.032512003,0.063151709,0.095663712,0,0
 01/02  06:00:00,0.03188905,0.075981488,0.107870537,0,0
 01/02  07:00:00,0.026417655,0.129758031,0.156175685,0,0.067350228
 01/02  08:00:00,0.025374046,0.207405929,0.232779975,0.05912103,0.433675926
 01/02  09:00:00,0.018248411,0.268690649,0.286939061,0.077629704,0.847860168
 01/02  10:00:00,0.011128594,0.330033496,0.34116209,0.09858186,1.15910922
 01/02  11:00:00,0.007922028,0.34487662,0.352798647,0.20741511,1.340207748
 01/02  12:00:00,0.001510533,0.361119726,0.362630258,0.642523422,1.352958792
 01/02  13:00:00,0,0.351845974,0.351845974,0.509845158,1.177561722
 01/02  14:00:00,0,0.317847783,0.317847783,0.387053166,0.875328276
 01/02  15:00:00,0,0.292642171,0.292642171,0.214408524,0.48055146
 01/02  16:00:00,0,0.302863616,0.302863616,0.075804114,0.099368268
 01/02  17:00:00,0,0.353720743,0.353720743,0,0
 01/02  18:00:00,0,0.445069937,0.445069937,0,0
 01/02  19:00:00,0,0.398283704,0.398283704,0,0
 01/02  20:00:00,0,0.315345897,0.315345897,0,0
 01/02  21:00:00,0,0.275874928,0.275874928,0,0
 01/02  22:00:00,0,0.258342283,0.258342283,0,0
 01/02  23:00:00,0,0.205880856,0.205880856,0,0
 01/02  24:00:00,0,0.135920782,0.135920782,0,0
 01/03  01:00:00,0,0.086369242,0.086369242,0,0
 01/03  02:00:00,0.00559088,0.072238755,0.077829636,0,0
 01/03  03:00:00,0.010143967,0.059715255,0.069859222,0,0
 01/03  04:00:00,0.013953195,0.052611026,0.066564221,0,0
