Date/Time,HVAC [kW](Hourly),Electrical appliances [kW](Hourly),Hourly_Total_Load_Consumption,PV Generation Trabzon [kW],PV Generation Antalya [kW]
01/01  01:00:00,0.041273939,0.092942925,0.134216864,0,0
01/01  02:00:00,0.048924302,0.07618578,0.125110081,0,0
01/01  03:00:00,0.055788311,0.062326493,0.118114805,0,0
01/01  04:00:00,0.060330882,0.053976431,0.114307312,0,0
01/01  05:00:00,0.063761302,0.065822864,0.129584166,0,0
01/01  06:00:00,0.061445952,0.080078181,0.141524133,0,0
01/01  07:00:00,0.056277926,0.140383543,0.196661469,0,0.061536426
01/01  08:00:00,0.062079036,0.228567291,0.290646327,0.068305152,0.46046997
01/01  09:00:00,0.053887979,0.30112795,0.355015929,0.28296645,0.883894506
01/01  10:00:00,0.050604912,0.375064554,0.425669466,0.364724796,1.220729904
01/01  11:00:00,0.06086807,0.395792849,0.456660919,0.480354858,1.349616558
01/01  12:00:00,0.049048317,0.413608485,0.462656802,0.553238028,1.322513568
01/01  13:00:00,0.04633629,0.39965648,0.44599277,0.52998282,1.160316918
01/01  14:00:00,0.048380758,0.361435816,0.409816574,0.42901365,0.840642066
01/01  15:00:00,0.045190727,0.331767743,0.376958471,0.250864152,0.439349298
01/01  16:00:00,0.042128428,0.339922589,0.382051017,0.06586167,0.07878123
01/01  17:00:00,0.034687592,0.389638663,0.424326255,0,0
01/01  18:00:00,0.026579792,0.480421868,0.507001659,0,0
01/01  19:00:00,0.02399812,0.43259402,0.45659214,0,0
01/01  20:00:00,0.01258891,0.349590651,0.362179561,0,0
01/01  21:00:00,0.010022924,0.310730298,0.320753222,0,0
01/01  22:00:00,0.009723251,0.29394914,0.303672391,0,0
01/01  23:00:00,0.013331431,0.234174068,0.247505499,0,0
01/01  24:00:00,0.019234583,0.151455627,0.17069021,0,0
01/02  01:00:00,0.024158614,0.086369242,0.110527856,0,0
